Seeded RNG: 2356471001
Running IMIS. InitSamples: 50000000, StepSamples: 100000, FinalResamples 100000, MaxIter 3000
Step Var(w_i)  MargLik    Unique Max(w_i)     ESS     Time
   0 14963215.54    23.15   115.54     0.44     3.34 10925.00
   1 12853978.08    22.76   144.60     0.47     3.90    32.00
   2 4616768.65    22.32   231.30     0.23    10.87    30.00
   3 3181440.49    22.12   440.99     0.14    15.81    33.00
   4 3385440.37    22.23   455.10     0.18    14.89    31.00
   5 2842790.41    22.12   629.98     0.12    17.76    34.00
   6 2230741.08    22.43  1256.66     0.13    22.68    46.00
   7 1590610.71    22.35  2051.95     0.09    31.87    37.00
   8 22235270.76    24.25  1020.32     0.66     2.28    32.00
   9 3081571.35    23.76  2911.18     0.23    16.52    38.00
  10 6033829.45    24.31  3850.07     0.33     8.45    35.00
  11 955045.95    24.39  5460.64     0.07    53.51    48.00
  12 424517.53    24.32  7302.57     0.03   120.61    38.00
  13 1413875.19    25.23  6978.11     0.14    36.28    43.00
  14 696146.79    25.46  7614.67     0.06    73.83    39.00
  15 687288.51    25.71  8273.93     0.08    74.93    34.00
  16 349775.27    25.73  9795.33     0.04   147.52    36.00
  17 1330602.88    26.17  9282.19     0.15    38.85    38.00
  18 293320.20    26.00 10931.61     0.03   176.60    35.00
  19 280765.48    26.17 11183.44     0.03   184.85    35.00
  20 267829.99    26.24 11806.67     0.03   194.15    32.00
  21 278935.45    26.34 12364.33     0.04   186.78    33.00
  22 181053.63    26.37 13316.63     0.02   288.31    37.00
  23 613759.95    26.59 12843.05     0.09    85.21    33.00
  24 198046.62    26.49 14426.62     0.03   264.58    33.00
  25 208701.03    26.70 14744.69     0.03   251.55    39.00
  26 360936.35    26.93 14051.06     0.05   145.73    35.00
  27 189612.53    26.88 15554.28     0.04   277.93    34.00
  28 119711.02    27.03 15905.06     0.01   441.06    34.00
  29 141275.68    27.18 15917.00     0.02   374.44    37.00
  30 113220.03    27.19 16420.48     0.02   468.11    41.00
  31 93724.78    27.16 17076.97     0.01   566.55    35.00
  32 112347.86    27.29 16885.68     0.02   473.53    35.00
  33 96902.89    27.37 17269.43     0.02   550.03    35.00
  34 282880.14    27.58 16567.55     0.06   188.77    37.00
  35 85850.38    27.55 17806.93     0.01   623.17    35.00
  36 75298.83    27.66 18297.51     0.01   711.82    34.00
  37 67856.89    27.70 18864.41     0.01   791.36    38.00
  38 69120.11    27.79 19143.96     0.01   778.34    32.00
  39 63479.46    27.82 19925.12     0.01   849.08    34.00
  40 59086.56    27.90 20274.04     0.01   913.90    34.00
  41 57730.98    28.03 20243.87     0.01   937.09    34.00
  42 52746.73    28.07 20611.70     0.01  1027.53    33.00
  43 68108.07    28.13 20834.69     0.02   797.25    33.00
  44 48555.55    28.17 21499.64     0.01  1120.34    34.00
  45 50017.65    28.24 21692.21     0.01  1089.59    39.00
  46 51828.08    28.26 21890.30     0.01  1053.46    35.00
  47 45487.92    28.25 22278.51     0.01  1202.49    34.00
  48 46042.33    28.28 22561.52     0.01  1190.18    34.00
  49 41925.38    28.33 22780.71     0.01  1309.44    35.00
  50 41551.02    28.39 22979.86     0.01  1323.64    33.00
  51 36996.98    28.42 23315.73     0.01  1489.27    34.00
  52 40536.98    28.47 23671.03     0.01  1361.69    35.00
  53 45072.31    28.51 23936.33     0.01  1226.89    34.00
  54 31581.13    28.50 24857.14     0.01  1754.16    37.00
  55 34807.39    28.55 25118.48     0.01  1594.44    35.00
  56 31326.60    28.57 25670.53     0.01  1774.79    34.00
  57 28345.36    28.62 25976.80     0.00  1964.98    35.00
  58 27649.64    28.66 26201.31     0.00  2018.04    35.00
  59 26632.08    28.67 26563.16     0.00  2098.89    33.00
  60 25935.94    28.70 26818.81     0.00  2159.08    36.00
  61 24067.40    28.71 27185.55     0.00  2330.86    34.00
  62 23336.94    28.72 27545.29     0.00  2408.10    34.00
  63 25900.99    28.74 27649.92     0.01  2173.58    34.00
  64 21905.84    28.74 28136.75     0.00  2574.54    35.00
  65 21012.18    28.78 28457.26     0.00  2688.79    37.00
  66 20108.10    28.80 28659.77     0.00  2814.65    34.00
  67 43779.09    28.86 28521.93     0.02  1295.11    34.00
