Seeded RNG: 2514336011
Running IMIS. InitSamples: 50000000, StepSamples: 100000, FinalResamples 100000, MaxIter 3000
Step Var(w_i)  MargLik    Unique Max(w_i)     ESS     Time
   0 15187978.00    22.77   139.60     0.51     3.29 11019.00
   1 4614741.12    22.92   240.98     0.19    10.86    42.00
   2 3625010.08    22.65  1105.15     0.21    13.85    43.00
   3 2545136.49    22.71  1222.91     0.16    19.76    38.00
   4 5301286.98    23.15  2069.42     0.31     9.51    37.00
   5 1797799.88    23.80  3345.37     0.10    28.09    38.00
   6 2597372.24    24.12  4271.31     0.18    19.48    42.00
   7 865590.43    24.19  5255.11     0.08    58.57    36.00
   8 7526248.89    25.24  4719.85     0.38     6.75    34.00
   9 2445305.74    25.15  6297.12     0.21    20.82    38.00
  10 5095532.52    25.28  6405.23     0.31    10.01    35.00
  11 726109.10    25.06  8025.33     0.09    70.38    39.00
  12 468453.00    25.42  7893.62     0.04   109.30    39.00
  13 1369251.18    25.67  8230.73     0.15    37.47    40.00
  14 264124.83    25.72  9500.30     0.03   194.60    36.00
  15 270245.02    25.88 10113.61     0.04   190.57    38.00
  16 279051.76    26.31 10229.07     0.05   184.91    35.00
  17 176619.34    26.41 10783.22     0.02   292.72    34.00
  18 154414.67    26.55 11196.80     0.01   335.46    33.00
  19 142268.01    26.84 11527.09     0.02   364.80    37.00
  20 250729.73    27.09 11643.38     0.05   207.39    32.00
  21 185716.66    27.14 12533.17     0.04   280.53    35.00
  22 105995.12    27.22 13339.54     0.01   492.47    34.00
  23 125780.99    27.39 13945.44     0.02   415.80    35.00
  24 126358.41    27.55 14348.62     0.03   414.69    35.00
  25 81335.86    27.54 15384.89     0.02   645.46    32.00
  26 66674.73    27.58 15987.33     0.01   788.89    33.00
  27 168163.56    27.69 16055.82     0.05   313.38    34.00
  28 63234.82    27.67 17124.62     0.01   834.97    36.00
  29 59328.79    27.73 17647.50     0.01   891.63    34.00
  30 53356.25    27.77 18257.66     0.01   993.30    33.00
  31 80174.23    27.82 18566.81     0.03   662.30    34.00
  32 46103.15    27.85 19148.75     0.01  1153.91    33.00
  33 43441.20    27.94 19344.01     0.01  1226.92    33.00
  34 41303.14    27.99 19791.76     0.01  1292.85    34.00
  35 44121.35    28.03 20106.70     0.01  1212.54    32.00
  36 37223.49    28.07 20588.77     0.01  1439.91    33.00
  37 35792.40    28.09 20980.23     0.01  1500.28    32.00
  38 32878.30    28.09 21480.64     0.00  1636.29    33.00
  39 30321.01    28.13 22035.11     0.00  1777.59    40.00
  40 50066.04    28.19 22246.98     0.02  1078.55    35.00
  41 28156.75    28.17 22921.51     0.00  1921.32    41.00
  42 84236.73    28.22 22863.16     0.03   643.42    38.00
  43 27627.78    28.21 23372.27     0.00  1965.34    37.00
  44 29207.14    28.24 23556.91     0.01  1862.49    35.00
  45 26901.16    28.25 23821.25     0.00  2025.86    32.00
  46 87289.33    28.32 23614.04     0.03   625.50    36.00
  47 33131.87    28.35 24230.80     0.01  1650.93    34.00
  48 34391.79    28.45 24335.82     0.01  1593.36    37.00
  49 28381.01    28.46 25066.41     0.01  1934.32    34.00
  50 26060.73    28.48 25405.62     0.00  2110.37    35.00
  51 25141.48    28.54 25456.60     0.00  2191.51    33.00
  52 25388.64    28.56 25919.89     0.01  2174.12    32.00
  53 22420.71    28.59 26355.73     0.00  2466.36    34.00
  54 21894.48    28.60 26578.51     0.00  2530.20    33.00
  55 25311.79    28.63 26741.42     0.01  2192.57    33.00
  56 26602.31    28.65 27066.41     0.01  2089.97    33.00
  57 26531.61    28.67 27534.09     0.01  2099.30    36.00
  58 19406.77    28.66 28144.84     0.01  2875.14    33.00
  59 18445.26    28.67 28388.36     0.00  3030.42    33.00
  60 17031.43    28.69 28734.57     0.00  3287.85    34.00
  61 16517.38    28.72 29119.74     0.00  3396.22    38.00
  62 17010.47    28.73 29345.03     0.00  3303.65    32.00
  63 15875.27    28.74 29566.39     0.00  3546.17    34.00
  64 17985.40    28.76 29704.74     0.01  3135.70    37.00
  65 14751.19    28.76 30154.83     0.00  3829.94    36.00
  66 15124.37    28.79 30384.25     0.00  3742.06    39.00
  67 16894.13    28.83 30423.08     0.01  3356.00    41.00
  68 14506.42    28.83 30700.68     0.00  3915.24    38.00
  69 14226.82    28.84 30909.94     0.00  3999.21    37.00
  70 14246.74    28.85 30879.53     0.00  4000.64    42.00
  71 14020.28    28.86 31130.16     0.00  4072.38    40.00
  72 13450.74    28.88 31305.43     0.00  4252.24    40.00
  73 12890.89    28.88 31616.31     0.00  4444.66    32.00
  74 12444.12    28.89 31822.76     0.00  4612.25    36.00
  75 12628.78    28.90 31848.98     0.00  4552.73    43.00
  76 12798.84    28.91 31949.05     0.00  4500.06    42.00
  77 16515.24    28.92 31854.88     0.01  3493.53    38.00
  78 12439.22    28.92 32171.70     0.00  4646.22    39.00
  79 15450.54    28.94 32186.92     0.01  3747.20    38.00
  80 13461.55    28.95 32311.99     0.00  4308.25    38.00
  81 12666.58    28.96 32601.46     0.00  4586.51    35.00
  82 12227.50    28.96 32785.19     0.00  4759.37    36.00
  83 28549.67    28.99 32599.34     0.02  2041.98    36.00
  84 11769.74    28.97 33074.59     0.00  4961.45    40.00
  85 11611.75    28.99 33127.57     0.00  5037.57    36.00
  86 11524.50    29.00 33260.63     0.00  5084.38    37.00
  87 12482.11    29.02 33158.24     0.00  4702.35    37.00
  88 30821.28    29.05 32971.23     0.02  1907.71    38.00
  89 12749.45    29.05 33472.99     0.01  4619.45    40.00
  90 11226.19    29.05 33670.96     0.00  5255.10    36.00
  91 13796.32    29.08 33594.86     0.01  4283.44    38.00
